VP;Linienpre;DurchgezogeneLinienpre;Strichepre;DurchgezogenePfeilpre;Gestrichelterpfeilpre;Knotenpre;Linienpost;DurchgezogeneLinienpost;Strichepost;DurchgezogenePfeilpost;Gestrichelterpfeilpost;Knotenpost
1;9;6;2;1;0;9;18;15;3;0;0;11
2;10;7;2;1;1;8;16;8;4;4;0;11
3;9;7;1;1;0;9;10;10;0;0;0;9
4;17;11;6;0;3;16;24;24;0;0;0;23
5;25;16;1;8;0;17;19;12;5;2;0;14
6;30;12;0;14;4;20;32;16;1;12;3;24
7;18;6;0;9;3;12;19;17;1;1;0;14
8;10;5;0;5;0;9;4;3;0;1;0;4
9;12;0;0;9;3;11;12;2;0;10;0;10
10;12;6;4;2;0;8;11;8;2;0;1;9
11;8;3;1;3;1;8;13;2;1;7;3;9
12;20;15;2;3;0;17;9;9;0;0;0;9
13;16;14;2;0;0;15;8;8;0;0;0;9
14;16;7;0;5;4;13;21;15;2;4;0;17
15;12;11;0;1;0;14;20;19;1;0;0;24
16;18;4;2;10;2;17;10;10;0;0;0;11
17;16;9;1;4;2;10;22;18;1;2;1;16
